,Country,highinputrain2020s_Weighted.Average,highinputrain2020s_Minimum,highinputrain2020s_Maximum,highinputrain2020s_Range,highinputrain2020s_Standard.deviation,lowinputrain2020s_Weighted.Average,lowinputrain2020s_Minimum,lowinputrain2020s_Maximum,lowinputrain2020s_Range,lowinputrain2020s_Standard.deviation,highinputrain2050s_Weighted.Average,highinputrain2050s_Minimum,highinputrain2050s_Maximum,highinputrain2050s_Range,highinputrain2050s_Standard.deviation,lowinptrain2050s_Weighted.Average,lowinptrain2050s_Minimum,lowinptrain2050s_Maximum,lowinptrain2050s_Range,lowinptrain2050s_Standard.deviation,highinputrain2080s_Weighted.Average,highinputrain2080s_Minimum,highinputrain2080s_Maximum,highinputrain2080s_Range,highinputrain2080s_Standard.deviation,lowinputrain2080_Weighted.Average,lowinputrain2080_Minimum,lowinputrain2080_Maximum,lowinputrain2080_Range,lowinputrain2080_Standard.deviation
1,Argentina,56.90039281,0.0012,1,0.9988,0.270139947,47.37635079,1.00E-04,1.0001,1,0.275048989,59.76288929,6.00E-04,1,0.9994,0.303901782,47.29436531,1.00E-04,1.0001,1,0.273353475,54.58567328,4.00E-04,1.0001,0.9997,0.264771817,48.66555315,1.00E-04,1.0001,1,0.277548057
2,Australia,45.76132563,0.0033,1,0.9967,0.185820235,31.5520105,0.0017,1,0.9983,0.125849208,43.38452177,0.0033,1,0.9967,0.181852768,31.66716275,0.0019,1,0.9981,0.127112841,43.11666914,0.0012,1,0.9988,0.182283225,32.25474189,0.0025,0.9985,0.996,0.127131964
3,Belgium,68.85947773,0.0552,0.9991,0.9439,0.224781441,50.49051945,0.0306,0.8766,0.846,0.158520518,66.19213806,0.0485,0.9928,0.9443,0.221014106,49.55332173,0.0306,0.8766,0.846,0.156856139,55.45589886,0.0549,0.9939,0.939,0.203111824,46.41945962,0.0305,0.9036,0.8731,0.148516292
4,Burundi,31.19946378,0.019,0.776,0.757,0.144710954,26.468264,0.0228,0.6271,0.6043,0.080263809,31.74036853,0.0202,0.8321,0.8119,0.148788934,26.51314625,0.0228,0.7174,0.6946,0.085069953,32.17371347,0.0186,0.776,0.7574,0.144496737,25.85390747,0.0228,0.7174,0.6946,0.088185124
5,Canada,42.83377178,2.00E-04,1.0003,1.0001,0.249856628,38.56878336,0.001,1.0002,0.9992,0.210668431,44.26957272,2.00E-04,1,0.9998,0.266852513,37.68159528,2.00E-04,1.0002,1,0.216076665,40.56477441,1.00E-04,1.0001,1,0.254903926,38.01072246,1.00E-04,1.0003,1.0002,0.218447157
6,China,26.29814547,1.00E-04,1,0.9999,0.236687869,29.31209302,1.00E-04,1,0.9999,0.211155422,28.05460847,1.00E-04,1,0.9999,0.254033884,30.16027779,1.00E-04,1,0.9999,0.231120172,23.53210793,1.00E-04,1,0.9999,0.235193297,28.57496466,1.00E-04,1.0001,1,0.237697643
7,Denmark,76.38053942,0.1534,1,0.8466,0.159758145,58.0121864,0.2174,0.9698,0.7524,0.172135646,77.64816808,0.1534,1,0.8466,0.157203168,58.47345293,0.2182,0.9698,0.7516,0.174205687,66.23378343,0.1534,1,0.8466,0.155990972,56.37129147,0.2197,0.9462,0.7265,0.157668216
8,France,51.76363664,0.0015,1.0001,0.9986,0.264570623,45.94986634,0.0029,1,0.9971,0.182049941,50.85728536,4.00E-04,1,0.9996,0.265470417,46.75692222,0.0016,1,0.9984,0.191529667,50.85384567,8.00E-04,1.0001,0.9993,0.270137499,48.23409076,0.001,1,0.999,0.201684081
9,Germany,52.09178618,0.0062,1,0.9938,0.23287476,44.0529244,0.0064,1,0.9936,0.144300923,51.83234276,0.004,1,0.996,0.233557908,44.67635655,0.007,1,0.993,0.149553206,44.768555,0.0052,1,0.9948,0.195233975,41.98524212,0.0064,1,0.9936,0.134618748
10,India,58.21561928,5.00E-04,1.0001,0.9996,0.239602798,39.9524971,5.00E-04,1,0.9995,0.220982222,58.67763511,4.00E-04,1,0.9996,0.241973869,39.33009749,4.00E-04,1,0.9996,0.221391799,56.21431398,1.00E-04,1.0001,1,0.236818389,38.37874766,3.00E-04,1,0.9997,0.2202368
11,Kenya,53.55669178,0.0096,1,0.9904,0.223043475,41.38945292,0.0017,1,0.9983,0.21052217,53.93214597,0.0019,1,0.9981,0.231820826,42.08522977,0.002,1,0.998,0.208302887,55.32627913,0.0029,1.0001,0.9972,0.232014362,43.39318794,0.002,1,0.998,0.220659094
12,Netherlands,74.96422122,0.0167,1.0001,0.9834,0.140361504,42.3391866,0.0036,0.7382,0.7346,0.104722562,76.01163695,0.0167,1,0.9833,0.14393293,42.31977334,0.0036,0.7382,0.7346,0.104776341,62.66320507,0.0119,1,0.9881,0.202579889,39.16366949,0.0012,0.7843,0.7831,0.129438762
13,Pakistan,28.67877613,5.00E-04,1,0.9995,0.241643943,20.12810083,1.00E-04,0.8858,0.8857,0.171180792,27.67774809,2.00E-04,1,0.9998,0.230874507,20.08729083,1.00E-04,0.9,0.8999,0.163491429,26.1908542,6.00E-04,0.7779,0.7773,0.216060957,18.55510582,1.00E-04,0.7264,0.7263,0.15935274
14,Russian Federation,54.74179746,1.00E-04,1.0003,1.0002,0.274075319,48.19464569,3.00E-04,1.0004,1.0001,0.246320784,51.68683665,1.00E-04,1,0.9999,0.286963486,45.83000426,2.00E-04,1.0003,1.0001,0.244500313,45.90373385,1.00E-04,1.0003,1.0002,0.283618748,42.48489886,2.00E-04,1.0002,1,0.245695049
15,Rwanda,28.30330858,0.0028,0.7382,0.7354,0.184265871,29.53474381,0.0032,0.7606,0.7574,0.11319854,30.54926676,0.0028,0.756,0.7532,0.19858678,30.39317207,0.0034,0.7812,0.7778,0.131639455,30.34182054,0.0027,0.7757,0.773,0.186911992,30.68237457,0.0034,0.7594,0.756,0.135767419
16,Switzerland,29.39130595,0.0011,0.9424,0.9413,0.248606081,28.78790547,0.0059,0.9531,0.9472,0.191102449,24.32026912,0.0011,0.9385,0.9374,0.231563609,25.67800719,0.0038,0.7489,0.7451,0.189981599,16.58476958,0.001,0.6734,0.6724,0.167451331,20.20184086,0.0037,0.7468,0.7431,0.1709893
17,Thailand,44.50341961,0.0073,1,0.9927,0.272339214,27.51939838,0.0062,0.7476,0.7414,0.14329797,44.12551815,0.0075,0.9449,0.9374,0.265805631,27.91271192,0.0057,0.7476,0.7419,0.147633841,43.76838347,0.007,1,0.993,0.270743846,26.60749722,0.0055,0.7302,0.7247,0.147622671
18,Uganda,63.48808329,3.00E-04,1.0001,0.9998,0.248206309,38.40033407,7.00E-04,0.9824,0.9817,0.14975744,64.74547902,4.00E-04,1,0.9996,0.246101158,38.82294308,7.00E-04,0.9895,0.9888,0.150042178,63.46060552,3.00E-04,1,0.9997,0.24597279,38.50047678,7.00E-04,0.989,0.9883,0.15013318
19,Ukraine,76.92969333,0.0074,1.0003,0.9929,0.211898249,73.69824848,0.0041,1.0002,0.9961,0.21982163,74.18357421,0.0074,1,0.9926,0.200698848,74.71337392,0.0041,1.0003,0.9962,0.226067563,73.12708956,0.0056,1.0002,0.9946,0.202363519,74.57158371,0.0041,1.0002,0.9961,0.22619774
20,United Kingdom,47.5615717,0.0071,1,0.9929,0.238491207,34.64503016,0.0042,0.928,0.9238,0.149442836,49.42493474,0.0088,1,0.9912,0.243776481,33.50084224,8.00E-04,0.9779,0.9771,0.160817804,46.90660527,0.0077,1,0.9923,0.248607295,33.06494997,8.00E-04,1,0.9992,0.17267389
21,United Republic of Tanzania,63.35577637,2.00E-04,1.0001,0.9999,0.2213563,45.6436722,5.00E-04,0.9845,0.984,0.160657349,65.32131142,1.00E-04,1,0.9999,0.21924302,46.9027923,5.00E-04,0.9845,0.984,0.164657281,61.21805954,2.00E-04,1.0001,0.9999,0.220342578,46.94071173,5.00E-04,0.95,0.9495,0.17022626
22,United States of America,51.33841765,1.00E-04,1.0003,1.0002,0.302396752,45.83544652,1.00E-04,1.0001,1,0.226977016,50.15485937,1.00E-04,1,0.9999,0.303634149,43.70123359,1.00E-04,1.0001,1,0.216549315,47.37184083,1.00E-04,1.0003,1.0002,0.296237525,42.59175123,1.00E-04,1,0.9999,0.206410488
23,Zambia,74.05933859,0.0061,1.0001,0.994,0.150802239,51.03307369,0.0047,0.9556,0.9509,0.133180972,75.64346815,0.0067,1,0.9933,0.153904566,49.01246761,0.0055,0.9469,0.9414,0.120282937,74.35227158,0.0055,1.0001,0.9946,0.15520576,50.09036633,0.0047,0.9556,0.9509,0.131977932
24,South Sudan,72.38485964,0.0345,1.0001,0.9656,0.177452471,36.57507684,0.02,0.959,0.939,0.166302391,72.13780218,0.0346,1,0.9654,0.176741294,36.86251425,0.02,0.959,0.939,0.165940078,69.92001288,0.0345,1,0.9655,0.183846073,37.13076161,0.02,0.9638,0.9438,0.165843628
