"code","product_label.x","ssudan_imported.value_2001","ssudan_imported.value_2002","ssudan_imported.value_2003","ssudan_imported.value_2004","ssudan_imported.value_2005","ssudan_imported.value_2006","ssudan_imported.value_2007","ssudan_imported.value_2008","ssudan_imported.value_2009","ssudan_imported.value_2010","ssudan_imported.value_2011","ssudan_imported.value_2012","ssudan_imported.value_2013","ssudan_imported.value_2014","ssudan_imported.value_2015","ssudan_imported.value_2016","ssudan_imported.value_2017","ssudan_imported.value_2018","ssudan_imported.value.in.2019","product_label.y","ssudan_exported_value_2001","ssudan_exported_value_2002","ssudan_exported_value_2003","ssudan_exported_value_2004","ssudan_exported_value_2005","ssudan_exported_value_2006","ssudan_exported_value_2007","ssudan_exported_value_2008","ssudan_exported_value_2009","ssudan_exported_value_2010","ssudan_exported_value_2011","ssudan_exported_value_2012","ssudan_exported_value_2013","ssudan_exported_value_2014","ssudan_exported_value_2015","ssudan_exported_value_2016","ssudan_exported_value_2017","ssudan_exported_value_2018","ssudan_exported.value.in.2019","average_ssudan_imports","average_ssudan_exports"
"'27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5018,7448,51900,24570,21796,15683,7932,NA,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,643472,2468314,4393631,2326874,1459767,1270082,1588403,NA,24376.2,2383733.6
"'12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465,586,3905,3783,2006,3873,1057,NA,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,221,3545,8216,7847,158,32655,NA,2924.8,3997.4
"'10","Cereals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5373,38337,90897,69273,80557,87314,15141,NA,"Cereals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13550,38,1,8,8,NA,68636.4,2719.6
"'89","Ships, boats and floating structures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431,275,415,588,256,123,457,NA,"Ships, boats and floating structures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3142,17,341,2280,NA,NA,NA,367.8,1445
"'72","Iron and steel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11293,24520,19881,25615,11125,8351,8522,NA,"Iron and steel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,73,89,451,1873,3417,NA,NA,14698.8,1180.6
"'84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38272,54317,44421,56598,24507,22713,35276,NA,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,104,1747,510,910,1797,70,NA,36703,1013.6
"'07","Edible vegetables and certain roots and tubers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5348,7224,15027,13979,11590,18604,3297,NA,"Edible vegetables and certain roots and tubers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,661,NA,6,314,3353,3,10207,NA,12499.4,919
"'41","Raw hides and skins (other than furskins) and leather",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Raw hides and skins (other than furskins) and leather",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1845,1750,801,314,27,76,31,NA,1,593.6
"'88","Aircraft, spacecraft, and parts thereof",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3591,3040,3626,22463,1835,2387,1033,NA,"Aircraft, spacecraft, and parts thereof",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,14,251,535,1710,9,NA,6268.8,502.8
"'52","Cotton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,530,916,1449,2245,224,740,NA,"Cotton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448,NA,NA,409,NA,13804,NA,1114.8,428.5
"'30","Pharmaceutical products",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15780,34213,19229,30545,20206,14235,28844,NA,"Pharmaceutical products",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782,27,NA,NA,NA,NA,NA,22611.8,404.5
