"code","product_label.x","tanzania_exported_value_2001","tanzania_exported_value_2002","tanzania_exported_value_2003","tanzania_exported_value_2004","tanzania_exported_value_2005","tanzania_exported_value_2006","tanzania_exported_value_2007","tanzania_exported_value_2008","tanzania_exported_value_2009","tanzania_exported_value_2010","tanzania_exported_value_2011","tanzania_exported_value_2012","tanzania_exported_value_2013","tanzania_exported_value_2014","tanzania_exported_value_2015","tanzania_exported_value_2016","tanzania_exported_value_2017","tanzania_exported_value_2018","product_label.y","tanzania_imported_value_2001","tanzania_imported_value_2002","tanzania_imported_value_2003","tanzania_imported_value_2004","tanzania_imported_value_2005","tanzania_imported_value_2006","tanzania_imported_value_2007","tanzania_imported_value_2008","tanzania_imported_value_2009","tanzania_imported_value_2010","tanzania_imported_value_2011","tanzania_imported_value_2012","tanzania_imported_value_2013","tanzania_imported_value_2014","tanzania_imported_value_2015","tanzania_imported_value_2016","tanzania_imported_value_2017","tanzania_imported_value_2018","average_tanzania_imports","average_tanzania_exports"
"'27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",942,732,659,20467,39834,18030,14929,69971,22231,77160,36777,69803,100095,95736,128545,42235,47455,72948,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",224510,198760,411804,423708,723948,1087172,1770510,2382333,1481076,2212921,3596819,3827651,4858906,3563529,7451164,1434037,1529298,1772509,3150107.4,77383.8
"'84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",581,488,856,10640,13448,32417,40163,62080,54788,79423,85520,160760,117865,87461,18547,24010,18484,55078,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",214729,258360,292133,359338,422384,532093,559795,935917,911888,887677,1343647,1171535,852414,1308938,949980,936233,959051,1000431,1030926.6,40716
"'87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",61,104,55,9569,9538,14316,18513,11239,15279,24206,18049,13330,30231,21311,8404,6869,6887,32268,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",176769,205305,225169,234106,323478,464535,518078,763361,777946,904482,1023471,1127142,1128986,1169284,843999,757136,598498,825900,838963.4,15147.8
"'85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",5007,2960,1886,5747,9598,12170,35819,109567,78829,69021,64388,35755,30132,29747,378322,19028,9020,17411,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",196492,116796,131125,154472,216532,411367,540957,600049,468241,473147,711369,743937,623870,745637,963230,616256,565061,507074,679451.6,90705.6
"'39","Plastics and articles thereof",207,1560,2532,5192,12644,43767,45250,35880,25931,85289,70029,45998,53919,36063,32507,39223,30912,36494,"Plastics and articles thereof",61829,72556,85272,125222,170608,186367,227170,297167,276631,413456,430818,467238,479913,597659,444089,405777,397926,488592,466808.6,35039.8
"'30","Pharmaceutical products",1325,395,1258,1517,1450,1143,1828,3662,8250,3035,3197,2533,2045,1922,972,1269,864,2146,"Pharmaceutical products",50014,34539,48494,53128,107608,88543,167019,136743,105464,153080,271088,214847,312532,481371,403125,326751,425233,280343,383364.6,1434.6
"'72","Iron and steel",436,1608,5974,12860,14169,14444,10094,54956,12902,23908,38371,32135,33488,24991,76069,9747,22669,40439,"Iron and steel",44077,48691,63181,90301,142084,174207,214891,359209,253322,317388,394470,426218,499909,384470,297918,265366,271489,425528,328954.2,34783
"'15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...",1362,4799,3920,4671,8054,11312,20072,52477,16605,56113,55561,53448,35458,277374,342473,22084,19779,12917,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...",65307,66189,84385,81182,95562,221404,250257,203632,125547,211334,317678,297957,233322,427449,263998,299122,278497,236985,301210.2,134925.4
"'73","Articles of iron or steel",336,520,477,1805,5482,3038,7509,10970,10711,29312,21673,24319,23691,10743,21877,33942,7222,26564,"Articles of iron or steel",62067,41073,58607,58620,84970,113571,128198,220551,212858,179429,251478,246148,487673,439081,282537,212887,185057,302988,284510,20069.6
"'10","Cereals",4975,27427,20247,44705,35918,40470,47524,20937,5369,32538,29059,81866,40724,146199,31112,23288,27199,55915,"Cereals",91856,82316,124145,192819,103788,194498,242593,208000,230937,308842,470705,471666,400107,346727,273494,202245,204269,30957,211538.4,56742.6
"'38","Miscellaneous chemical products",90,57,109,139,394,243,483,1381,699,2615,3556,2735,4396,5519,10827,3172,6317,7201,"Miscellaneous chemical products",20638,26006,31965,33958,41351,53012,83783,105891,86804,103306,102661,118291,121955,168442,143545,153370,196285,247519,181832.2,6607.2
